gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p
TNNT2,3,-2.04570239741834,0.7039098322799948,-2.9061994926143027,0.003658481203380186,1.2327686303231968,12.682677679763259,84.23045944634198,-1.7365378922836883,0,3,True,"GSE30528,GSE96804,GSE104948",0.029690539415228635,-3.1015489188557543,-3.237843932478633,-0.9306136319408668,-0.7976620609756075,-2.3669017759442066,-1.1741076833968247,-7.196391687920582,6.182685833306779e-13
TSPYL5,3,-2.0357641102108697,0.36414219496341915,-5.590574611699085,2.2631940990301908e-08,0.18314545097222695,3.636464005055347,45.00151803456226,-0.9749013177519789,0,3,True,"GSE30528,GSE96804,GSE104948",2.1932408268783487e-06,-2.824029398312854,-1.2231824172307697,-1.5751668783871116,-1.0324060243902462,-2.1523689536548427,-0.6691155116349208,-8.303211304080088,1.013344173199058e-16
G6PC,3,-2.026192794478738,0.6700469577098022,-3.023956412553825,0.00249492381282122,1.1346918244498847,13.178139815899229,84.82335118658378,-2.4735654477421094,0,3,True,"GSE30528,GSE96804,GSE104948",0.022139313966570984,-0.7882951828859508,-1.1258042627350429,-2.814833849749593,-4.695155414634144,-2.4857305802259364,-1.599736665857142,-9.180212464226353,4.3024169514654267e-20
KBTBD11,3,-2.0179017583431103,0.463410300605754,-4.354460303764026,1.3339514935372009e-05,0.414843073694173,5.724564899021129,65.06284695380099,-1.0170695253380686,0,3,True,"GSE30528,GSE96804,GSE104948",0.0003454304900717014,-3.0708027054046942,-1.5450984381880342,-1.4101446106529087,-0.4540835853658542,-1.9689832753686511,-1.0520265524603172,-7.970368385944344,1.5820206904924049e-15
MTHFD2,3,-2.0107005193825014,0.589336330984649,-3.411804794086038,0.0006453430931457876,0.8021721445758654,9.47838625631886,78.89936170657025,-0.9073952950829295,0,3,True,"GSE30528,GSE96804,GSE104948",0.007686432818920777,-1.4604185516447885,-1.293430945957265,-1.3535777897858765,-0.5301488902439031,-3.632892738019823,-0.8986060490476202,-7.785567422240608,6.940102174863666e-15
HSPA1L,3,-2.0097786696171425,0.2448570672549303,-8.207966762603927,2.2496546460120815e-16,0.0,0.39510802984541127,0.0,-0.5731197556059988,0,3,True,"GSE30528,GSE96804,GSE104948",2.8777582231786548e-12,-1.737936427014788,-0.4587190812649572,-2.10863242864005,-0.8271940975609757,-2.063234060112396,-0.4334460879920634,-8.451591935244329,2.8735741701371606e-17
RNF38,3,-2.008888751949301,0.466429635113476,-4.306949217453916,1.6552159108271612e-05,0.4490557733010594,6.469904973459714,69.08764490043939,-0.5557803780128553,0,3,True,"GSE30528,GSE96804,GSE104948",0.0004103395723120358,-1.9890103057184063,-0.791999530068376,-2.7194503913258394,-0.5542864634146358,-1.216308081770466,-0.3210551405555542,-8.906823108516527,5.251575077934495e-19
PRKG1,3,-1.9960134555931643,0.6811875987159888,-2.9301964089709935,0.003387478188455879,1.1404694760889995,12.655445747322005,84.1965266184068,-0.4256564449817348,0,3,True,"GSE30528,GSE96804,GSE104948",0.02799108640923712,-1.3662714742302915,-0.2838741213846154,-1.1554208792491982,-0.5207783048780499,-3.899921586110096,-0.4723169086825391,-7.024220013530134,2.1526537579848527e-12
GJA1,3,-1.9914398368039359,0.5696146943151413,-3.4961173872072986,0.00047208097208848755,0.7326360404429518,8.584009078241595,76.70086341043697,-1.1627342836909782,0,3,True,"GSE30528,GSE96804,GSE104948",0.006002842738524784,-3.2303566391215446,-1.9385544420427352,-1.1810614605287348,-0.9031368292682932,-1.922351784795817,-0.6465115797619063,-7.503481930881149,6.214455320903871e-14
ZFP36,3,-1.9901662818299775,0.7018743726050645,-2.8355021347243548,0.004575370929746792,1.2690712475313908,14.627815614511212,86.3274185790533,-1.5700203783062534,0,3,True,"GSE30528,GSE96804,GSE104948",0.03481745683124388,-0.7288191821745489,-0.5460794434615385,-2.9012454014210936,-3.293419658536587,-2.338315746771332,-0.8705620329206347,-9.108525622110387,8.350907283660182e-20
TJP1,3,-1.9688089009843641,0.6421751689962737,-3.0658440189483382,0.0021705651693649498,0.9849217622098031,10.908512133961548,81.6656939513008,-0.7896233726105603,0,3,True,"GSE30528,GSE96804,GSE104948",0.019875354077678195,-3.61658867371745,-1.2670164110256412,-1.101114708836903,-0.5856053658536613,-1.6054716461212366,-0.5162483409523784,-7.168419096824789,7.58687463811553e-13
LRRC2,3,-1.957294474021771,0.4571730070509918,-4.28129929771523,1.858052565209454e-05,0.402448911184601,5.692881362044673,64.86840542059578,-1.845223992241167,0,3,True,"GSE30528,GSE96804,GSE104948",0.0004493045068839194,-3.0350999463767976,-3.168107127923077,-1.3751434273917904,-1.3456501219512198,-1.8576729551942848,-1.0219147268492037,-7.84650760457417,4.277828238898428e-15
ERVMER34-1,3,-1.9507817219970442,0.2431424255927201,-8.023205811332716,1.0302052711267427e-15,0.0,1.1492103796291548,0.0,-0.7873652171648358,0,3,True,"GSE30528,GSE96804,GSE104948",4.6512544524255845e-12,-1.845317767528956,-0.9217120869230768,-2.1809853606911545,-0.8854300000000013,-1.56112343926401,-0.554953564571429,-8.405147434520991,4.273244228745813e-17
H2AFJ,3,-1.9364297516766193,0.4128933030572513,-4.689903511000071,2.7333391057757573e-06,0.2944636771856308,4.7396381921922615,57.80268621991746,-1.1692461699790044,0,3,True,"GSE30528,GSE96804,GSE104948",9.632196650436222e-05,-3.0356437401460536,-2.109431959145299,-1.507619759107984,-0.7269530365853658,-1.6857951821057553,-0.6713535142063485,-7.960054446440674,1.7196359314381897e-15
GHR,3,-1.9311030011232106,0.5822787624432944,-3.316457898996913,0.0009116632224303408,0.7860458738369616,9.218124101185584,78.3036116888167,-1.0669865719824096,0,3,True,"GSE30528,GSE96804,GSE104948",0.01010799908077107,-2.4105604314067173,-1.8007286319658122,-1.0183979692013432,-0.254867951219512,-2.6247072110024865,-1.1453631327619045,-7.18137563811806,6.901344422645583e-13
