gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p
CDR2L,3,2.073800458935696,0.741267700162401,2.797640391563475,0.005147739030459994,1.3795030726416766,14.767124337891019,86.45640170531921,0.4278926582609575,3,0,True,"GSE30528,GSE96804,GSE104948",0.038218153034036126,1.1531518394412914,0.2639185687948717,1.251671582905626,0.2421959268292708,4.323781611556021,0.7775634791587303,7.349836374388266,1.9844963655023211e-13
CORO1C,3,2.063071336371901,0.5239831024784426,3.937286005242466,8.240836569345395e-05,0.588280778012368,7.3156598480879556,72.6613861014502,0.7640732286255206,3,0,True,"GSE30528,GSE96804,GSE104948",0.001514608928090033,1.839949147728613,0.6370895617948719,1.3946435613347152,0.6490627560975639,3.3325438829167,1.0060673679841263,7.993536384357937,1.3112216078273802e-15
EZH2,3,2.038699201657476,0.4584337412553484,4.447096751811548,8.703864170108036e-06,0.40721391167642884,5.806951846047955,65.5585227323498,0.5669256902564154,3,0,True,"GSE30528,GSE96804,GSE104948",0.00024964087547986994,1.480501143084528,0.4878872981623932,1.7105832498556337,0.3521972804878048,3.3078903002355764,0.860692492119048,8.287650443812593,1.1550745269314714e-16
PCOLCE,3,2.0352510062400313,0.519520290256056,3.9175582636761255,8.945043002409587e-05,0.5744620459040422,7.0991509006469595,71.82761673909853,0.7023323852739352,3,0,True,"GSE30528,GSE96804,GSE104948",0.0016276669998125666,2.8597979426744757,0.8263804113589744,1.2552501501875986,0.3330304024390225,2.31212964044755,0.9475863420238086,7.6796915255896145,1.5947212735931277e-14
COL1A2,3,2.019662198474148,0.4500494810226612,4.487644767159398,7.201487564231767e-06,0.38347669046641586,5.470732037446363,63.44182119851071,2.272104267355198,3,0,True,"GSE30528,GSE96804,GSE104948",0.00021778115584315073,2.224604424410563,2.590986874102564,1.3752902424992512,1.5684545487804895,2.8076820491117105,2.65687137918254,8.055678189832385,7.903933227189157e-16
VSIG4,3,2.0133171227530995,0.6092480000659698,3.3045937328232444,0.0009511416489994986,0.87419845228694,9.814657446019693,79.62231477766863,1.5124499887343237,3,0,True,"GSE30528,GSE96804,GSE104948",0.010470743523237165,2.3376489058812666,1.5766574024188036,1.0660796130027703,1.2643568292682916,2.904325828628968,1.6963357345158752,7.449297027183589,9.383888834344611e-14
ZAP70,3,1.9884215446184708,0.6901955902450396,2.8809537075027136,0.003964738672570227,1.1805752640716263,12.82878948319734,84.41006454568824,0.40552209724116706,3,0,True,"GSE30528,GSE96804,GSE104948",0.031442614444834684,1.7042602400910274,0.5659321359230769,0.9942307743866924,0.1495231219512192,3.618036857279553,0.5011110338492051,6.855241729732218,7.119203262138758e-12
MS4A4A,3,1.9847917987533323,0.7325241059275198,2.709524209090969,0.006737978767744042,1.361213272620139,14.221493869790677,85.9367797904241,1.500894936713775,3,0,True,"GSE30528,GSE96804,GSE104948",0.046640814067630834,2.0706288769486303,1.4467545923931622,0.8393838497423929,1.0168581097560985,3.311783418122684,2.0390721079920637,6.938068975622427,3.974956446489983e-12
RARRES1,3,1.9615788967069379,0.7296917218148935,2.68822961541634,0.0071831983389616,1.3524858009802967,14.080948399312678,85.79641126944529,1.8438222433699138,3,0,True,"GSE30528,GSE96804,GSE104948",0.04879844564630737,2.4342046531305885,3.244359770940171,0.7907768683825048,0.760939195121952,2.883450358206726,1.526167764047619,6.823002844645646,8.915688975945201e-12
COL1A1,3,1.9539271687661086,0.42194759364494916,4.630734238551565,3.643713117697155e-06,0.3180033846956789,4.952301284072719,59.61473494287849,1.127120098724962,3,0,True,"GSE30528,GSE96804,GSE104948",0.00012201669686278013,2.1097048478718863,0.8043576963589744,1.3667679825269148,0.8202243292682931,2.7460947365388853,1.7567782705476187,7.866143876928182,3.657398849328843e-15
COL15A1,3,1.9538819905400369,0.5504781717462408,3.5494268271199254,0.00038607074557847653,0.6797637756154241,8.543696562406472,76.59092893349822,1.462065470715989,3,0,True,"GSE30528,GSE96804,GSE104948",0.005128366539397583,1.2396688467174446,1.0704000286324786,1.5162233706296568,1.1168892073170733,3.5018670844881497,2.198907176198415,7.965554569834351,1.6448442691437255e-15
FMOD,3,1.9395754838064343,0.5873289979862,3.302366289518719,0.000958727845235128,0.8021968429277545,9.324720882862376,78.55163682512215,0.9023266672503892,3,0,True,"GSE30528,GSE96804,GSE104948",0.010545181940023867,2.5539788469163107,0.742333765863248,1.0162786756987756,0.8930327682926817,2.508376887815943,1.0716134675952382,7.125327402131097,1.0383357266832396e-12
MMP2,3,1.9311115535961032,0.38696495367985667,4.990404260727311,6.025305871483832e-07,0.24016978431504998,4.272239422469766,53.186144262396994,1.1091781851151812,3,0,True,"GSE30528,GSE96804,GSE104948",2.7625703479577482e-05,1.8363575768979763,0.5203365968376068,1.4791632822050795,1.429013499999999,2.871611685444506,1.3781844585079377,7.947071754456295,1.9097180782125924e-15
CLEC10A,3,1.9242228846677865,0.5847553490666709,3.2906460586278383,0.0009995759491897944,0.7951430571848404,9.323734413861999,78.54936754712239,0.9182920457370972,3,0,True,"GSE30528,GSE96804,GSE104948",0.010928697044475086,2.357964031766247,1.005233805974359,1.0087107059080695,0.5523066219512183,2.6659363345688325,1.1973357092857144,7.145252835045691,8.983039035117488e-13
SOX4,3,1.904123702912616,0.5442089479749651,3.4988834895089047,0.0004672106889870742,0.662037740584975,8.330072976256744,75.99060649647834,1.1241653512732566,3,0,True,"GSE30528,GSE96804,GSE104948",0.005952748140958817,1.5836734627318532,1.240285010940171,1.2242787444696004,0.886732975609756,3.2722328140267707,1.2454780672698424,7.484237618902821,7.1963649749414e-14
