gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p,neglog10fdr
CYP3A7,3,-1.6029698173374958,0.2298233920921118,-6.974789653679096,3.063287940652196e-12,0.0,0.7377732544653204,0.0,-0.8643747070659042,0,3,True,"GSE30528,GSE96804,GSE104948",3.2654649447352406e-09,-1.3389999086490625,-0.7432645982991454,-1.5985999742491626,-0.7462823170731712,-1.937615465592791,-1.1035772058253963,-7.290614576973815,3.085442776644218e-13,8.486054974095772
OSBPL3,3,1.596294197156913,0.2299079128703938,6.943189458889104,3.8334474698691975e-12,0.0,1.0175932983880622,0.0,0.6610221304191259,3,0,True,"GSE30528,GSE96804,GSE104948",3.6458900405614462e-09,1.4619686346011245,0.6769424463675213,1.4933949494842047,0.5743657317073163,2.075473383031844,0.7317582131825402,7.236558977559693,4.602115878731222e-13,8.438196433733024
TMEM243,3,1.590374995671141,0.2292422981108515,6.937528583412234,3.990186098175441e-12,0.0,0.2446966238262681,0.0,0.5304565110310556,3,0,True,"GSE30528,GSE96804,GSE104948",3.6458900405614462e-09,1.4280415635281565,0.8185574975726496,1.690712958551417,0.3790500121951217,1.515986705604079,0.3937620233253955,7.123433136787758,1.0527133228349072e-12,8.438196433733024
LTBP1,3,1.586670492519501,0.2293415112651866,6.918374627281671,4.568548469861903e-12,0.0,1.1775266382497356,0.0,0.7083129451864797,3,0,True,"GSE30528,GSE96804,GSE104948",3.679851626079389e-09,1.1860355275255083,0.319852462059829,1.6588018664079824,1.1443192073170714,1.8928899457019743,0.6607671661825387,7.161221385681892,7.996139299773526e-13,8.434169691998779
SPTB,3,-1.5945543548027323,0.2305162202345975,-6.917319541245063,4.602691214608368e-12,0.0,1.739644069085117,0.0,-0.7046995758170177,0,3,True,"GSE30528,GSE96804,GSE104948",3.679851626079389e-09,-1.6783307354369017,-0.5917081378974358,-1.3830100414927278,-0.9310225365853642,-2.185421797720565,-0.591368052968253,-7.203341541096396,5.875455398882915e-13,8.434169691998779
FADS2,3,1.583719002473324,0.2295136080365803,6.900327244303998,5.188288130029187e-12,0.0,1.9025202546041489,0.0,0.4776651188370755,3,0,True,"GSE30528,GSE96804,GSE104948",3.733847013230274e-09,1.0762037752258362,0.4246480729999999,1.692021092913362,0.5845954878048776,1.954693030846497,0.423751795706349,7.148558848282804,8.769365543324817e-13,8.427843480353472
ALB,3,-1.5815640744750723,0.2292607276467855,-6.898539015856812,5.254006116177684e-12,0.0,1.4832082999121206,0.0,-2.3321948772975216,0,3,True,"GSE30528,GSE96804,GSE104948",3.733847013230274e-09,-1.1180000549684428,-1.786230866,-1.6964444684459017,-2.822326280487803,-1.8613788279728087,-2.388027485404762,-7.277316214783217,3.405264377937195e-13,8.427843480353472
UBN1,3,1.5744668085448568,0.2293464704036425,6.865014341724312,6.64845734503973e-12,0.0,0.9879931566749902,0.0,0.2640475637923658,3,0,True,"GSE30528,GSE96804,GSE104948",4.266242824777889e-09,1.6114180550972588,0.3495109902820512,1.737366141401539,0.2498478536585366,1.1824316633935053,0.1927838474365097,6.787475670608034,1.1411249464695192e-11,8.3699544291351
TNNI1,3,-1.5794109375619927,0.2300822649367402,-6.864548808211021,6.670173272010457e-12,0.0,1.1010167735099652,0.0,-1.383884065357113,0,3,True,"GSE30528,GSE96804,GSE104948",4.266242824777889e-09,-2.0314281439223394,-1.478843430752137,-1.4054649005992266,-1.6292973170731706,-1.6575108561772791,-1.043511448246031,-7.206143343359447,5.75588114452801e-13,8.3699544291351
CERS6,3,-1.5675023187506336,0.2286132454051835,-6.856568244645952,7.0534393212736296e-12,0.0,0.1587821757643455,0.0,-0.9830330105103796,0,3,True,"GSE30528,GSE96804,GSE104948",4.2965521808443945e-09,-1.5612061906861043,-1.0662503574358977,-1.5069340244328064,-1.1925750000000015,-1.740188699450279,-0.6902736740952395,-7.133010100563975,9.819734772947417e-13,8.36687990941202
FBXO3,3,-1.5578069663175822,0.2284454263453628,-6.819164608541983,9.157142985849236e-12,0.0,0.5154825327788508,0.0,-0.6482969459951913,0,3,True,"GSE30528,GSE96804,GSE104948",5.324462412499246e-09,-1.521640018946622,-1.1375498765811964,-1.4596831065666291,-0.3641487073170752,-1.8833643713795585,-0.4431922540873021,-7.030923695518226,2.051706901493486e-12,8.27372423447533
SLC6A2,3,-1.5592957550491542,0.229093747043471,-6.806365407927414,1.0009528508366822e-11,0.0,1.3481542340323458,0.0,-0.6667244030232301,0,3,True,"GSE30528,GSE96804,GSE104948",5.529010780039794e-09,-1.6388364098775208,-0.7847598355555556,-1.369753814045604,-0.5592036829268312,-2.063929924829974,-0.6562096905873034,-7.098494857718171,1.261228796735233e-12,8.257352563306474
DACT1,3,1.5585670465031305,0.2291597783737982,6.801224270521175,1.0373378574183476e-11,0.0,1.9119263214611224,0.0,1.0027284675600674,3,0,True,"GSE30528,GSE96804,GSE104948",5.529010780039794e-09,1.4595919234891934,0.9653217184957265,1.392570631283484,0.6966519634146344,2.2358323299734493,1.3462117207698414,7.182070871758748,6.866330908571777e-13,8.257352563306474
LUM,3,1.556701558187258,0.2291861549048063,6.792301912102161,1.1035828997857833e-11,0.0,0.9615365408684976,0.0,2.417311020036917,3,0,True,"GSE30528,GSE96804,GSE104948",5.646812981623895e-09,1.9695671225388347,2.374619337897436,1.527571360157234,3.033962268292683,1.2889772975726943,1.8433514539206337,7.121729349707664,1.0658119504527037e-12,8.24819659554517
BAIAP2,3,-1.5859859115232888,0.2339121200340732,-6.780263935414134,1.199565325089422e-11,0.0047842810285983,2.053570341867132,2.6086441148358617,-0.5975821374239,0,3,True,"GSE30528,GSE96804,GSE104948",5.901861399439957e-09,-1.10965847197203,-0.5628327449230769,-1.6352586116767331,-0.6695655609756077,-2.094419518077733,-0.5603481063730156,-7.220274030055542,5.1882916731032e-13,8.229010993779672
CROCC,3,1.6186590737178774,0.2398282168698388,6.749243666337923,1.4861782075081412e-11,0.0101782662419067,2.116749243523904,5.51549711809713,0.2626708132034596,3,0,True,"GSE30528,GSE96804,GSE104948",6.512452248763216e-09,1.5521274459106609,0.3751052200683761,1.9138727161685007,0.1545112560975585,1.1024549317017207,0.2583959634444444,6.825511428356734,8.761262621102134e-12,8.186255448057052
ZNF124,3,-1.664951755130604,0.2467038018187741,-6.748788396676834,1.490848263140895e-11,0.0149803342336768,2.158079101057729,7.32499105247118,-0.970474809631476,0,3,True,"GSE30528,GSE96804,GSE104948",6.512452248763216e-09,-2.323503262474411,-1.671859276034188,-1.6304764828409988,-0.8143373414634141,-1.2607599576913402,-0.4252278113968257,-7.470582613562504,7.984052640410698e-14,8.186255448057052
AVPI1,3,-1.5399066514657174,0.2282179826100126,-6.747525474787704,1.5038783963122388e-11,0.0,0.4997684057370279,0.0,-0.648267048127153,0,3,True,"GSE30528,GSE96804,GSE104948",6.512452248763216e-09,-1.8200206844123168,-0.9460836641452992,-1.415594914431757,-0.3467975365853655,-1.6121707831407144,-0.6519199436507943,-6.978179243810531,2.990300019661091e-12,8.186255448057052
FLNB,3,1.5420708762508468,0.2286147689306549,6.745281083387043,1.5273105649069458e-11,0.0,1.0173823217514284,0.0,0.5289969824974098,3,0,True,"GSE30528,GSE96804,GSE104948",6.512452248763216e-09,1.8556771161378696,0.4605538954358974,1.352325737191324,0.5744665853658546,1.7842141406922882,0.5519704666904772,6.915058746667477,4.676695272958047e-12,8.186255448057052
TIPARP,3,-1.523536666170194,0.2273841544660386,-6.700276322014973,2.080257957658974e-11,0.0,0.5942885515996934,0.0,-0.8082049171558711,0,3,True,"GSE30528,GSE96804,GSE104948",8.51593796449694e-09,-1.5194665436254369,-1.1896932613162394,-1.4084088782848465,-0.3682239390243893,-1.8647391806777127,-0.8666975511269843,-6.9693157022825085,3.184862856317932e-12,8.069767510899144
FZD2,3,-1.531119223716617,0.2286344261518467,-6.696800868910831,2.1303159385858512e-11,0.0,1.6744421737081892,0.0,-0.985729869013902,0,3,True,"GSE30528,GSE96804,GSE104948",8.51593796449694e-09,-1.87400677766706,-1.8398463738034183,-1.627206222523445,-0.5403036463414628,-1.045202726441153,-0.5770395868968254,-6.988377886778123,2.780825590852957e-12,8.069767510899144
NLK,3,-1.5267223289928438,0.228476880360776,-6.682174260179304,2.3542283751400118e-11,0.0,1.2515996495920514,0.0,-0.970857128895803,0,3,True,"GSE30528,GSE96804,GSE104948",8.989224923078914e-09,-2.0544998657969056,-1.332080865897436,-1.431568555408274,-1.0580462195121925,-1.340481203488986,-0.5224443012777806,-6.980663133992661,2.9378999502652897e-12,8.046277752776367
PDGFB,3,1.5158443081896469,0.226922454041515,6.680010202570458,2.3892561552898927e-11,0.0,0.8922886939344719,0.0,0.37423766286557,3,0,True,"GSE30528,GSE96804,GSE104948",8.989224923078914e-09,1.2050621419979903,0.3617286898119658,1.5335879099465357,0.4489762682926814,1.8500504967037643,0.3120080304920627,6.778212461812965,1.2167183689411144e-11,8.046277752776367
C11orf71,3,-1.5457723316684893,0.2326343674087091,-6.644643046024076,3.0395278835367976e-11,0.005041382639358,2.0585882954277235,2.846042385349825,-0.5348236803369414,0,3,True,"GSE30528,GSE96804,GSE104948",1.110904019605792e-08,-0.9985628643889471,-0.4858299604957264,-1.735814355118826,-0.6446599146341452,-1.7622728551312468,-0.4739811658809527,-7.064606783944022,1.6107144133319396e-12,7.954323461811814
SIK3,3,-1.50658166613748,0.22692273653283,-6.639183402935543,3.154257247314171e-11,0.0,1.8645846949792368,0.0,-0.4642373328614697,0,3,True,"GSE30528,GSE96804,GSE104948",1.1208127418789688e-08,-1.0013075148481696,-0.3764139806153846,-1.6243356460588745,-0.5292975853658515,-1.8428952052288865,-0.4870004326031729,-6.886630395417079,5.712939534424559e-12,7.950466940448664
DHRS3,3,-1.495270702337965,0.2269044125035264,-6.589870535526614,4.4021026907110194e-11,0.0,1.046870939665071,0.0,-0.8565802944311427,0,3,True,"GSE30528,GSE96804,GSE104948",1.4818867794625096e-08,-1.6589746428896806,-1.1434697074358973,-1.3108594354643814,-0.6467432926829257,-1.8733453998395164,-0.7795278831746053,-6.887326110782232,5.685079831366625e-12,7.829184976473445
EGF,3,-1.486573248138952,0.2257607954706496,-6.584727188969425,4.55721387774168e-11,0.0,0.3275407998663016,0.0,-1.411209984262322,0,3,True,"GSE30528,GSE96804,GSE104948",1.494766151899271e-08,-1.2601463936117867,-1.281840690470086,-1.5395462581077088,-1.5069720609756097,-1.6042562706838983,-1.4448172013412703,-6.876578869458263,6.1306999932966876e-12,7.825426745054274
PTEN,3,1.4709800711660546,0.2260527945865003,6.507241256878936,7.654343158197118e-11,0.0,1.4637726537238562,0.0,0.5657001558181012,3,0,True,"GSE30528,GSE96804,GSE104948",2.4478589419914385e-08,1.3955282386725223,0.7171332142735043,1.3202843950509706,0.4425176829268284,2.041319496631429,0.5374495702539708,6.762668989855601,1.3547251649963389e-11,7.611213612049266
WNT2B,3,1.4636131592039603,0.2254522676389229,6.491898150024537,8.476155713144077e-11,0.0,1.3331378835171934,0.0,0.5618013103136684,3,0,True,"GSE30528,GSE96804,GSE104948",2.563871830978577e-08,1.140494410340986,0.7179497495128206,1.4461552969087748,0.4203957073170743,1.932504278713044,0.5470584741111102,6.746823092445623,1.5111733862482056e-11,7.591103689172738
CENPQ,3,-1.4669293678876218,0.2260188523374739,-6.490296507201602,8.566760465779394e-11,0.0,1.8080329885912227,0.0,-0.4059291028537966,0,3,True,"GSE30528,GSE96804,GSE104948",2.563871830978577e-08,-1.3282379906422783,-0.4349629622307692,-1.7401093789904651,-0.5444879512195087,-1.019987492128762,-0.2383363951111121,-6.656809779111447,2.798349743893967e-11,7.591103689172738
PID1,3,1.6646599437965786,0.2565202034902201,6.48939117132754,8.618393428086211e-11,0.0272365904990493,2.277365959597698,12.179244114402026,0.6910560942724026,3,0,True,"GSE30528,GSE96804,GSE104948",2.563871830978577e-08,1.906282834380922,0.7804405025384614,1.3670054435887662,0.3929392317073183,2.224761523719062,0.8997885485714283,7.381633734819049,1.5635884604529005e-13,7.591103689172738
LAMC3,3,1.4668331183637997,0.226394782785143,6.4790941748683215,9.22748993300624e-11,0.0,1.8096027792367868,0.0,0.4458719114456359,3,0,True,"GSE30528,GSE96804,GSE104948",2.6826829823412693e-08,1.6290047506887393,0.5538101721367522,1.238476824422963,0.1618958170731708,2.0130472931192083,0.6219097451269846,6.614476135646211,3.7286980102960447e-11,7.571430645686028
PCOLCE2,3,-1.4671438866731574,0.2269266415975913,-6.465278278232493,1.0111256031753156e-10,0.0,1.904257450212144,0.0,-1.559852051576301,0,3,True,"GSE30528,GSE96804,GSE104948",2.8742930479596972e-08,-2.034569788658726,-3.035798820307692,-1.4519628404245195,-1.2375174390243888,-1.0720402243109464,-0.4062398953968227,-6.776520306503036,1.231047656534568e-11,7.5414689555393855
UBR4,3,1.4606461644535256,0.2264748514834632,6.44948503061577,1.1223084446204963e-10,0.0,1.963541888892683,0.0,0.3804970175184738,3,0,True,"GSE30528,GSE96804,GSE104948",3.1209933964316075e-08,1.795762937395201,0.6061844645726495,1.5799163983682964,0.2455024756097561,0.931343928450302,0.2898041123730159,6.557702624449502,5.4643036697112296e-11,7.505707150237694
WT1,3,-1.4484731513858131,0.2259278795822171,-6.411219164559552,1.4436048851703682e-10,0.0,1.2614725075575564,0.0,-0.6743583570089037,0,3,True,"GSE30528,GSE96804,GSE104948",3.847207018979032e-08,-1.9682770403446908,-0.5669414807777777,-1.299944184371272,-0.9402371951219504,-1.4009428503296066,-0.5158963951269833,-6.609436853813196,3.857847310883133e-11,7.414854443591485
TRO,3,1.733272058677931,0.2711723536606436,6.391772742611589,1.639734805663108e-10,0.0444000767143504,2.450358172233209,18.37927929624924,0.3883433632311563,3,0,True,"GSE30528,GSE96804,GSE104948",4.2807117620494854e-08,1.6452247601121264,0.4084949355811965,1.49220676839639,0.26038787804878,2.49400378435303,0.4961472760634926,7.4219822754579425,1.1538025726340965e-13,7.368484014017065
MFAP2,3,1.4335270822358392,0.2244470603695746,6.3869274111917225,1.692519273528549e-10,0.0,0.2936120357692884,0.0,0.5468356760720352,3,0,True,"GSE30528,GSE96804,GSE104948",4.33014130939544e-08,1.5411142016319757,0.3590737077435897,1.3307019699368747,0.4140962195121984,1.6060587487341274,0.8673371009603175,6.50630231326459,7.702314644886536e-11,7.3634979306929855
STX7,3,-1.4262678047060724,0.2242044329843474,-6.361461215201065,1.998433744717725e-10,0.0,1.3550126269136833,0.0,-0.3774269462622665,0,3,True,"GSE30528,GSE96804,GSE104948",5.0044789030335993e-08,-1.034709027265304,-0.3475856215897436,-1.467727660623249,-0.456375975609756,-1.8096500705109777,-0.3283192415872999,-6.497184336953362,8.18371650420072e-11,7.300641137229419
CDH10,3,-1.7331167771974347,0.2725572412662673,-6.358725855697643,2.0343410174933327e-10,0.0498812578898859,2.554215536674092,21.698072410746896,-1.399540945758604,0,3,True,"GSE30528,GSE96804,GSE104948",5.0044789030335993e-08,-1.5392885303340005,-1.4872793863247864,-2.125342404791639,-1.6768344756097568,-1.2590067612226994,-1.0345089753412695,-7.884552250467713,3.1566530680126148e-15,7.300641137229419
MSR1,3,1.4232973331889418,0.224680582774727,6.334758952517013,2.3771261430102976e-10,0.0,0.9360689733965192,0.0,0.756156853907532,3,0,True,"GSE30528,GSE96804,GSE104948",5.737395777620326e-08,1.7070056686454995,1.3210548103846151,1.2424630489216333,0.7382570121951222,1.6598243684119915,0.2091587391428584,6.409787911427568,1.457222110651425e-10,7.241285190537993
NFKBIA,3,-1.4137243088083409,0.2234451017038812,-6.326942492934426,2.5006649504563353e-10,0.0,0.2772523670546558,0.0,-0.692136705424542,0,3,True,"GSE30528,GSE96804,GSE104948",5.923797415969897e-08,-1.2078464731393823,-0.72306265008547,-1.4963315482256103,-0.7136352439024414,-1.4309849730115909,-0.6397122222857146,-6.555845867142515,5.532735497160903e-11,7.22739980204664
FLRT3,3,-1.4138917632524972,0.2238537772976493,-6.316139849507664,2.6817738477124515e-10,0.0,0.2055923955009726,0.0,-0.8496075572370144,0,3,True,"GSE30528,GSE96804,GSE104948",6.237318374534123e-08,-1.5806850669793775,-0.9166360282905984,-1.332308660495198,-0.8728558536585371,-1.4665308406972477,-0.7593307897619077,-6.551119595980328,5.710729936457735e-11,7.205002087474531
SULT1A2,3,-1.4142469385137109,0.224624712879256,-6.296043388929872,3.0533893759011644e-10,0.0,1.6519779599121611,0.0,-0.5220431614821966,0,3,True,"GSE30528,GSE96804,GSE104948",6.953789241452759e-08,-1.5759224482614596,-0.6158416149487179,-1.5815619841259432,-0.5683618902439047,-0.9112818872896769,-0.3819259792539675,-6.496894966733921,8.199466408998931e-11,7.15777847624424
CEP104,3,-1.405884920243606,0.223377369683226,-6.293766115328991,3.0985458627486485e-10,0.0,0.444026673221913,0.0,-0.3992446739299521,0,3,True,"GSE30528,GSE96804,GSE104948",6.953789241452759e-08,-1.2725430503783115,-0.5579281874102564,-1.358177218522986,-0.3254804756097584,-1.6942251601691702,-0.3143253587698416,-6.396114384356179,1.5938062838910478e-10,7.15777847624424
MDM1,3,-1.406012293410002,0.2239577334844937,-6.278025194907371,3.4290035976648286e-10,0.0,0.7297360355037411,0.0,-0.5458527611531164,0,3,True,"GSE30528,GSE96804,GSE104948",7.465333512150867e-08,-1.629659253430117,-0.9256259494444444,-1.2451093827552766,-0.3114382682926822,-1.637294314938007,-0.4004940657222224,-6.453411106580221,1.0936016161563551e-10,7.126950785494037
ARMCX3,3,-1.4028137352621797,0.2234711279969577,-6.277382442358626,3.4432041683622665e-10,0.0,0.7891294347193698,0.0,-0.5048056136914206,0,3,True,"GSE30528,GSE96804,GSE104948",7.465333512150867e-08,-1.2807948606338166,-0.5550889934786325,-1.5812231604480362,-0.5607942926829281,-1.1184280864141205,-0.3985335549127011,-6.466922442883447,1.0001894983807956e-10,7.126950785494037
PPL,3,1.39795936243949,0.2230593847047786,6.267207112983401,3.675811135265383e-10,0.0,0.0235771001277043,0.0,0.5575070182914574,3,0,True,"GSE30528,GSE96804,GSE104948",7.836829340385797e-08,1.395365501519806,0.7260601127777777,1.4232528894871035,0.2299450243902443,1.3372694612028415,0.7165159177063503,6.394751391517154,1.6080877790257207e-10,7.105859610592768
CCDC40,3,1.3927559438996515,0.2228730929242199,6.249098649037948,4.1282812299403876e-10,0.0,0.5295132781949815,0.0,0.2526654951536224,3,0,True,"GSE30528,GSE96804,GSE104948",8.657208769409416e-08,1.1342601679641915,0.3753017147692307,1.4248921481813146,0.2230818780487808,1.609322693564584,0.1596128926428557,6.064594378340599,1.3228708065381642e-09,7.062622109303865
G0S2,3,-1.4935609874387867,0.2393505462482374,-6.240056732060979,4.3741222195380284e-10,0.014573482666035,2.173162122401473,7.968210039024543,-0.9888992764025084,0,3,True,"GSE30528,GSE96804,GSE104948",9.024801843924269e-08,-1.417468625435205,-0.8956828688376071,-1.7927947900844396,-1.4956261585365844,-0.9849914493211356,-0.5753888018333342,-6.915448069638451,4.663868697974788e-12,7.044562325049453
SPAG16,3,-1.4673769407504562,0.2354737379116481,-6.231594885120605,4.6171020191443535e-10,0.0110832470319399,2.12902858870476,6.060444156987919,-0.2972711932803631,0,3,True,"GSE30528,GSE96804,GSE104948",9.374915718872156e-08,-0.9680455570364288,-0.3676299856153846,-1.542703492939913,-0.19688663414634,-1.93064242402524,-0.3272969600793649,-6.54995688156324,5.7553698646064545e-11,7.028032627919527
NDUFAF7,3,1.3824011462395058,0.223098372548251,6.1963748567485615,5.77784281349074e-10,0.0,1.9621742740546453,0.0,0.2698872155030868,3,0,True,"GSE30528,GSE96804,GSE104948",1.1548463323464618e-07,0.9281119091744682,0.2383203406581196,1.6638243701150708,0.3723474634146342,1.2486343044891344,0.1989938424365069,6.252977079004575,4.0270126012055495e-10,6.937475800580413
RGS10,3,-1.375863738697694,0.2226786665274487,-6.178695786864237,6.463330034552056e-10,0.0,1.5816202860688289,0.0,-0.4990735410852225,0,3,True,"GSE30528,GSE96804,GSE104948",1.271983350799845e-07,-0.898461593772341,-0.4555993248205128,-1.527482131616422,-0.5390809756097585,-1.570835214378961,-0.5025403228253964,-6.41942971857167,1.367857878701683e-10,6.895518573202603
CDKN1B,3,-1.9120450075566835,0.3103655991562902,-6.160621579048903,7.245995872101908e-10,0.099292757853725,3.0149779090461237,33.66452225075312,-0.7954593683074954,0,3,True,"GSE30528,GSE96804,GSE104948",1.404405745392843e-07,-2.1690825783669365,-0.9951714797521368,-2.215156495362472,-0.9730387804878085,-1.249606301335485,-0.4181678446825412,-8.389350075216873,4.888370398054943e-17,6.852507402513932
SIRPA,3,-1.3613726929158982,0.2218387887841317,-6.136765803570228,8.421839865588509e-10,0.0,0.2361628582132356,0.0,-0.6532153244736688,0,3,True,"GSE30528,GSE96804,GSE104948",1.607942918815048e-07,-1.1709685341912124,-0.350539201051282,-1.405934154168634,-0.8963895121951211,-1.457494461285031,-0.7127172601746032,-6.308964616907629,2.8090832347702323e-10,6.793729372555016
PHYHIP,3,-1.3715292026755272,0.2237177721933185,-6.130622476833732,8.753589865207355e-10,0.0,1.742556754751991,0.0,-0.6888646528912571,0,3,True,"GSE30528,GSE96804,GSE104948",1.6467047287607717e-07,-1.839137782430598,-1.060718374871795,-1.3960838922100267,-0.3198252926829275,-0.9444091081104654,-0.6860502911190487,-6.3493171122061565,2.1627280905435942e-10,6.783384267354883
ANTXR1,3,1.3538949065229575,0.2218379278589458,6.103081288172789,1.040428928027822e-09,0.0,0.8943727159453645,0.0,0.3864715600806061,3,0,True,"GSE30528,GSE96804,GSE104948",1.928864760482884e-07,1.051132810623761,0.1864629450683761,1.369032917013176,0.6507616219512196,1.6825700702122175,0.3221901132222227,6.116015063888694,9.594425981046415e-10,6.714698221207845
RHOBTB2,3,-1.3537539648456096,0.2227562046271683,-6.077289596091905,1.2223090209789944e-09,0.0,1.091756821034647,0.0,-0.5667321091134694,0,3,True,"GSE30528,GSE96804,GSE104948",2.2336824280518997e-07,-1.7534897537428855,-0.6282480918632479,-1.1736626685113958,-0.4059782317073175,-1.481145739137242,-0.6659700037698428,-6.276915026436727,3.4535670051170154e-10,6.650978572289575
PAPSS1,3,-1.6503446460934508,0.2717003540365276,-6.074135059358728,1.2465778041223104e-09,0.0516527014559959,2.582003906803872,22.540783353201977,-0.5840284510989407,0,3,True,"GSE30528,GSE96804,GSE104948",2.245946939483464e-07,-1.6657901761820415,-0.879103222965812,-1.9842643866408256,-0.5209322439024415,-1.0800272894672616,-0.3520498864285688,-7.482920931397284,7.268861864327516e-14,6.648600508164384
SNAP25,3,1.347182345967454,0.2219535673616968,6.069658451454748,1.2818256678878068e-09,0.0,1.8623854213561803,0.0,0.2486015800063633,3,0,True,"GSE30528,GSE96804,GSE104948",2.2773769366140038e-07,0.8570811021576517,0.1738568694786324,1.4492791719095108,0.258376585365855,1.698981627343901,0.3135712851746026,6.091465799863283,1.1188148950224528e-09,6.6425650818383755
TEP1,3,1.3407726381051883,0.2213464479635936,6.057348787118169,1.3838332238847798e-09,0.0,0.3115527888992715,0.0,0.2303041854877896,3,0,True,"GSE30528,GSE96804,GSE104948",2.424930767114261e-07,1.2244703046907646,0.1817627415982906,1.303164459894138,0.1876504999999992,1.5761755415685383,0.3214993148650791,5.879864316219731,4.106029206510683e-09,6.615300656191391
