gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
ZRANB2-AS2,4.384506721311475,-0.1317433048780492,-1.3017025071214716,0.19786699943091743,41,20,0.3144154132508529
LRRC53,3.7233304918032792,-0.06460645121951103,-1.301673930033112,0.1978767121090144,41,20,0.3144154132508529
OTTHUMG00000152562,2.9207752459016403,0.10250119512195122,1.3015931823711755,0.19790415826553015,41,20,0.31444285698402186
CENPN,5.8758265573770485,0.09772134146341571,1.3015318296947067,0.197925013967647,41,20,0.3144598270959352
SH2D3C,5.304093606557379,0.06412231707317328,1.3013625506774835,0.19798256576576392,41,20,0.3145350945864871
CELA1,3.187943442622951,-0.04288978048780567,-1.3013218196834841,0.19799641543729354,41,20,0.31454092829698554
SNAP47-AS1,2.8727342622950816,0.06655734146341485,1.3012847520974828,0.19800902007919338,41,20,0.31454478363132726
PSG10P,2.8908827868852454,-0.05040417073170733,-1.3010678642860116,0.1980827837169826,41,20,0.31464578694353146
PIM2,4.872952131147542,-0.09421504878048736,-1.3007707189860331,0.19818387639000556,41,20,0.3147901886124851
OTTHUMG00000156380,3.529558852459017,0.08493632926829164,1.3006571253729,0.19822253261843992,41,20,0.31483540808782434
RPS26P11,6.983762786885245,-0.14516097560975627,-1.3004265283053245,0.19830102282870404,41,20,0.31494388768801573
TRAV5,3.2241386885245915,0.11975443902439054,1.3003654629988994,0.19832181202576746,41,20,0.3149607194581882
LOC100996543,4.085370819672131,0.14742110975609712,1.300309438232049,0.19834088664752858,41,20,0.3149639320092113
NPHP4,4.008991475409836,-0.029495024390245206,-1.3002996551997972,0.1983442175946698,41,20,0.3149639320092113
TYW3,7.96472,-0.07237798780488092,-1.3000883168186033,0.19841618475783981,41,20,0.31506202486466833
