gene,g,var_g,logFC,n_dn,n_ctrl
MIR1275,1.3081155651767673,0.08700445147168653,0.4960034634146355,41,20
MIR1276,0.05658388952734477,0.07253017524029932,0.011503256097561643,41,20
MIR1277,0.5787226368292228,0.07534134603542243,0.35924573170731655,41,20
MIR1278,-0.8183789284348547,0.07817883908735136,-0.2638917926829265,41,20
MIR1279,0.5751720816201099,0.0753066259769194,0.26446871951219375,41,20
MIR128-1,0.2535602287437399,0.07304789602882929,0.07808168292682982,41,20
MIR128-2,0.549517819441009,0.07506210826851253,0.07076506097560964,41,20
MIR1280,1.4671562306707886,0.0907449690423508,0.5510069512195122,41,20
MIR1281,0.9114486318988901,0.07954319957959013,0.1408952439024418,41,20
MIR1282,0.3508075161543754,0.07354597334908204,0.1451176341463425,41,20
MIR1283-1,-0.0032940704148618828,0.07250313383645066,-0.0005390731707319851,41,20
MIR1283-2,-0.3748456060481005,0.0736937980523292,-0.08139552439024511,41,20
MIR1284,-0.006303347756767365,0.07250337859317137,-0.002544353658536558,41,20
MIR1285-1,2.0227342499489307,0.10717637955693,0.7607617317073139,41,20
MIR1285-2,2.309826137461579,0.11771742141611828,1.1405463414634163,41,20
MIR1286,0.14861127806209617,0.07269020554041125,0.028199780487804027,41,20
MIR1287,-0.18760262333521896,0.07280130242443673,-0.0433809756097574,41,20
MIR1288,-0.05726894288774828,0.07253083621712507,-0.012595365853658613,41,20
MIR1289-1,-0.07967353161342787,0.07255683740204266,-0.01633169512195165,41,20
MIR1289-2,-0.11962977764532406,0.07262432394492159,-0.02368206097560943,41,20
MIR129-1,0.3282386482920898,0.07341609789859235,0.09335704878048823,41,20
MIR129-2,-0.8668403245132631,0.07887094144070794,-0.15056441463414627,41,20
MIR1290,1.5980099760147954,0.09414402394274649,0.7381361585365873,41,20
MIR1293,0.8767373679233311,0.07901718096707126,0.24176084146341648,41,20
MIR1294,0.5477977547942614,0.07504611289795689,0.16023943902438953,41,20
MIR1295A,0.5055732219478171,0.07466917986908454,0.4755329756097555,41,20
MIR1296,1.0474815235794745,0.08180149562747166,0.41853546341463366,41,20
MIR1297,0.03194167979956117,0.07251168824330251,0.012120329268292984,41,20
MIR1298,-0.1431578628229391,0.07267672131770601,-0.03604209756097543,41,20
MIR1299,1.642722803320749,0.0953720097487395,1.2286046707317055,41,20
MIR1301,0.33318141723904837,0.07344380337792118,0.08876651219512288,41,20
MIR1302-1,0.441124204110177,0.07415211445129759,0.17638335365853708,41,20
MIR1302-11,0.20961924460334538,0.07287541669075726,0.09574002439024376,41,20
MIR1302-3,0.3748933673449839,0.07369410151424186,0.21127118292682967,41,20
MIR1302-4,0.09962965760078969,0.07258716110571974,0.041712890243904344,41,20
MIR1302-5,0.0014610087490770937,0.07250305996904952,0.0007808048780488797,41,20
MIR1302-6,0.2809349241122888,0.07317189299480725,0.11018004878048959,41,20
MIR1302-8,-0.12334397572657325,0.07263197184872301,-0.04413880487804844,41,20
MIR1303,1.5382743676203103,0.09255633027016054,0.5551859756097564,41,20
MIR1305,0.1954588477398224,0.0728268059572971,0.07806125609756087,41,20
MIR1306,1.5311608554834517,0.09237129243361097,0.2573848414634172,41,20
MIR1307,-1.288042590066834,0.08656281911548608,-0.2825288048780479,41,20
MIR130A,-0.24155961125964767,0.0729975422677389,-0.0535771463414636,41,20
MIR130B,-0.7715198889203019,0.0775474735661091,-0.11963642682926778,41,20
MIR132,0.14321976221502758,0.07267687154313734,0.02501797560975616,41,20
MIR1322,0.1727642897664209,0.07275598679338792,0.06455991463414534,41,20
MIR1323,-0.06281636681878582,0.0725364816757762,-0.014507878048780398,41,20
MIR1324,-0.45445961362415027,0.07425332612048043,-0.07577056097560941,41,20
MIR133A2,0.15453609460825632,0.07270542666388177,0.018799743902439214,41,20
MIR133B,-0.20329930187831471,0.07285330125377533,-0.04724243902438996,41,20
MIR134,0.44765113111661936,0.07420127522873955,0.08522235365853748,41,20
MIR1343,0.19810278641067822,0.0728356242015674,0.032970012195122855,41,20
MIR135A1,0.2430895365236692,0.07300382597092009,0.06349380487804845,41,20
MIR135A2,-0.17913888405656392,0.07277499730154499,-0.05780213414634039,41,20
MIR135B,-0.1805109654309666,0.07277917924103472,-0.03471436585365861,41,20
MIR136,-0.37624940853897415,0.07370273355277293,-0.07748964634146382,41,20
MIR137,0.10571355930445989,0.07259774829171269,0.011660182926829687,41,20
MIR138-1,1.5277472862138608,0.09228280264690758,0.4934337682926806,41,20
MIR138-2,-0.7995949546440569,0.07792127994316533,-0.15168795121951284,41,20
MIR139,-0.5846625490720915,0.07539990879736232,-0.14390069512195014,41,20
MIR140,-0.036351706637253234,0.07251424057946372,-0.010018060975609977,41,20
MIR141,0.29292299595556165,0.07323019341831237,0.06181030487804895,41,20
MIR142,0.24355896222730367,0.07300576194815694,0.0822175609756104,41,20
MIR144,-0.06868838140116401,0.07254302572492194,-0.01648368292682889,41,20
MIR145,1.9867458966631344,0.10595354406533118,0.7268334146341475,41,20
MIR1468,-0.173437249307262,0.07275796119702159,-0.04535634146341483,41,20
MIR146A,0.7547014281072402,0.07732994226600327,0.15148625609756028,41,20
MIR146B,-0.4779005516875513,0.0744385413483436,-0.0881838780487807,41,20
MIR1470,-0.5826682273513455,0.07538017970310201,-0.06393712195121903,41,20
MIR1471,1.4695340427767998,0.09080414614136613,0.34579552439024264,41,20
MIR147A,1.340370972426268,0.08772841767393405,0.5104820365853664,41,20
MIR147B,-0.16600365063064246,0.07273657757477948,-0.05070141463414579,41,20
MIR148A,-0.5333147197707613,0.07491341976377494,-0.10662775609756148,41,20
MIR148B,0.19820067099212338,0.07283595294731361,0.05281948780487822,41,20
MIR149,0.27161293737963027,0.07312824177587517,0.049180414634146796,41,20
MIR150,-0.28847704560825965,0.07320828769189956,-0.04119199999999967,41,20
MIR151A,-0.8272370417528436,0.07830237343262096,-0.21415713414634174,41,20
MIR152,-0.04294785720412015,0.0725186733918619,-0.007751560975609806,41,20
MIR153-1,-0.27673980046063995,0.07315206660135824,-0.07707312195121929,41,20
MIR153-2,0.07856309060142662,0.07255534831361124,0.026037865853658637,41,20
MIR1537,0.9701197703683503,0.0804787399208544,0.6004087195121945,41,20
MIR1538,-0.39277653637897086,0.07381044363839949,-0.06892293902439217,41,20
MIR1539,-0.3847016766189247,0.07375724001520924,-0.03666458536585404,41,20
MIR154,0.33060815764265644,0.07342932792967076,0.09301806097560972,41,20
MIR155,0.5857075234799949,0.07541027326154531,0.1899965609756098,41,20
MIR15A,1.998806933348243,0.10636091608984988,0.5830602804878042,41,20
MIR15B,0.6918184591076683,0.07655908239121514,0.27882335365853583,41,20
MIR16-2,0.5882397532092204,0.07543546566997392,0.2545085731707326,41,20
MIR181A1,-0.2835499513551136,0.07318440268402344,-0.06191879268292766,41,20
MIR181A1HG,1.8020286606009281,0.10002259521549538,0.5969586463414638,41,20
MIR181A2,0.30861066204825693,0.07331016510619612,0.20904751219512185,41,20
MIR181A2HG,1.1436813019856868,0.08358784629078775,0.6975429878048791,41,20
MIR181B1,0.8600659640651718,0.07877180003681891,0.855519439024389,41,20
MIR181B2,0.8309897589082177,0.07835510950179335,0.6276165243902443,41,20
MIR181C,0.3149735671006559,0.07334379059129992,0.06172201219512141,41,20
MIR181D,0.8947405568951011,0.07928745428774775,0.2442952804878038,41,20
MIR182,-0.13939484523218434,0.0726677107176151,-0.023490414634145917,41,20
MIR1827,0.7733200435762579,0.07757104094574631,0.22761173170731697,41,20
MIR183,-0.48397444258103556,0.07448805256671952,-0.09881731707317121,41,20
MIR184,-0.1193283904499143,0.07262371361498852,-0.02273878048780542,41,20
MIR185,-0.09037595367751737,0.07257226063393558,-0.024510341463414242,41,20
MIR186,1.5795030270115655,0.09364566740796591,1.146090609756098,41,20
MIR187,0.28923456523825025,0.07321199640279524,0.0605160609756088,41,20
MIR188,-0.4746834617609635,0.07441257059890383,-0.09405284146341408,41,20
MIR18B,-0.7627627968375725,0.07743361039017588,-0.18143606097561005,41,20
MIR1908,1.577304784998735,0.09358685869984054,0.2738422317073157,41,20
MIR190A,0.09916232201841094,0.07258637379584204,0.056637682926829136,41,20
MIR190B,0.46077172619134754,0.0743022841140562,0.24695439024390176,41,20
MIR191,-0.17302771118628876,0.07275675873423428,-0.03865869512195186,41,20
MIR1910,0.5035566280380317,0.07465193406307043,0.16217426829268256,41,20
MIR1911,-0.43325801991957585,0.07409382587818568,-0.06643324390243865,41,20
MIR1912,-0.1464368270014949,0.07268476852630122,-0.0539087073170732,41,20
MIR1913,-0.18836494992456485,0.07280373132340137,-0.04822339024390221,41,20
MIR1914,-0.4343567443177312,0.07410190443335235,-0.04804739024390248,41,20
MIR1915,-0.5900795946666614,0.07545383788002753,-0.10208635365853524,41,20
MIR192,-0.5736859449022015,0.07529215682355601,-0.2008479024390235,41,20
MIR193A,0.7287450137687228,0.0770036291262208,0.2806779878048786,41,20
MIR193B,1.1372768616234854,0.083464047472758,0.4739030121951222,41,20
MIR194-1,0.7463803551006682,0.07722408962950406,0.46519765853658557,41,20
MIR194-2,-0.968762012765037,0.08045643033201562,-0.1579378536585363,41,20
MIR196A1,0.3796970895192847,0.07372482052195503,0.12876098780487677,41,20
MIR196A2,0.4437040376033137,0.07417145944734543,0.23599818292682784,41,20
MIR197,1.626635408820054,0.09492628555108867,0.538280731707319,41,20
MIR1972-1,1.3964792065418266,0.08902977217038109,0.53703169512195,41,20
MIR1972-2,1.3964792065418266,0.08902977217038109,0.53703169512195,41,20
MIR1973,-1.6354626825437744,0.09517031464232675,-0.3924659390243903,41,20
MIR1976,1.4364000852664585,0.0899881707352099,0.5146352560975602,41,20
MIR199A1,-0.36457696285840624,0.07362945172583336,-0.08810129268292721,41,20
MIR199B,-0.5106212765045438,0.0747126527950882,-0.10437793902438974,41,20
MIR19B2,0.35952687008194717,0.07359846196705254,0.11800660975609656,41,20
MIR200A,-0.5008688140661248,0.07462905517546851,-0.08076251219512143,41,20
MIR200B,0.16545703762746883,0.07273504214492996,0.03490270731707357,41,20
MIR200C,1.2972943430197048,0.08676552164603564,0.24023998780487732,41,20
MIR202,0.3952216401333253,0.0738267719206013,0.07607568292682831,41,20
MIR203,-0.09225176109064163,0.07257516380699665,-0.015792865853658355,41,20
MIR204,0.9623605074212158,0.08035166684784151,0.6685192804878057,41,20
MIR205,-0.002627121178142454,0.07250310036921155,-0.0005387560975598227,41,20
MIR2052,-0.25241633790969537,0.0730429910969917,-0.09287775609756155,41,20
MIR2053,0.34929384797912943,0.07353699266133343,0.11643348780487806,41,20
MIR2054,-0.15324048296073425,0.07270204735101117,-0.22189031707316964,41,20
MIR206,-0.08908167815786004,0.07257029226427711,-0.02694210975609712,41,20
MIR208A,-0.47599037269407046,0.07442309980253152,-0.07682324390243833,41,20
MIR208B,-0.08715908261629635,0.07256742074138807,-0.0249881341463416,41,20
MIR20A,2.0527178754415663,0.10821194591490353,0.40270885365853637,41,20
MIR20B,0.31267789250495776,0.07333157971409,0.07685086585365752,41,20
MIR21,0.7925306381339075,0.07782596401849337,0.9856985487804897,41,20
MIR210,0.1849772258296715,0.07279301284641457,0.04840490243902451,41,20
MIR210HG,-0.8985927438190826,0.07934599882242022,-0.15943919512195182,41,20
MIR211,0.8517880969778546,0.0786517110504613,0.15822714634146395,41,20
MIR2110,-1.17977351979385,0.08429851271023771,-0.28420636585365777,41,20
MIR2113,0.263805068635709,0.07309281403423025,0.09270709756097606,41,20
MIR2114,0.15218963474274347,0.0726993273451221,0.032749280487804455,41,20
MIR2115,0.33437909057359655,0.07345057896622123,0.05554307317073137,41,20
MIR2116,0.8368950862942557,0.0784385790446165,0.44161039024390236,41,20
MIR2117,0.2790500345649869,0.07316294799654235,0.08266502439024315,41,20
MIR212,-0.8106667743236015,0.07807236915926705,-0.17330848780487873,41,20
MIR214,1.0840057070775406,0.08246124843032167,0.4684919634146345,41,20
MIR215,0.6294403532454049,0.0758606279669066,0.41415260975609636,41,20
MIR216A,0.12733277499617524,0.0726404455710975,0.03482004878048839,41,20
