gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
SOCS3,2.269701580294326,1.9088468161083152,7.148109864199961,9.711712731767133e-06,6,6,0.001220161247912113
SHC2,4.412242420577997,0.9708535386814132,7.142545954291252,9.788743143176018e-06,6,6,0.001220161247912113
PTPRE,5.2806648929002264,1.2299385513173142,7.139246997860664,9.834722578550077e-06,6,6,0.001220161247912113
ITGAM,5.241292486947291,1.4996412681771254,7.129956000099079,9.965454715804649e-06,6,6,0.0012261627256933852
IL2RB,2.3109728948182524,1.9413534852465228,7.11509615050914,1.0178400126688606e-05,6,6,0.0012420985334929506
RHOH,1.4371916795007689,1.7183245309059774,7.099015306060563,1.0414302986474682e-05,6,6,0.0012459770818072477
SLC2A6,2.236395269623055,1.3358239875855233,7.098360423758898,1.0424032298974664e-05,6,6,0.0012459770818072477
SLAMF1,2.302068800334614,1.5401505268881823,7.095861070251365,1.0461253037742207e-05,6,6,0.0012459770818072477
MYC,3.7251572202810546,1.665432710630975,7.085434211458943,1.0618062091739408e-05,6,6,0.0012546167335064785
AKNA,6.567437754886423,1.4390559436485244,7.070742470401269,1.084326417729053e-05,6,6,0.0012711379296968615
TNFRSF12A,2.704496811328879,2.626443781810492,7.064586778243185,1.0939125698488092e-05,6,6,0.001272357057805396
CCL5,2.88964967342219,1.646859889768323,7.0314146211479205,1.147145005170872e-05,6,6,0.0013074666926695643
CD48,3.0643328870864264,1.876547245643013,7.031097865797493,1.1476663857571989e-05,6,6,0.0013074666926695643
SLA2,1.6341276381402177,1.274024659249616,7.028839134036091,1.1513915747828085e-05,6,6,0.0013074666926695643
CP,4.290117574900282,2.238186934177978,7.024113892385749,1.1592262455157339e-05,6,6,0.0013074666926695643
SH2D2A,1.434841238396016,2.0623725522108867,7.009344809013139,1.1840814272816446e-05,6,6,0.0013170530488554346
LTB,2.304060446799422,1.7091681061310253,7.008559664327069,1.1854185152245314e-05,6,6,0.0013170530488554346
GMIP,4.381390492785773,1.7664067022406473,6.9945005506574836,1.2096344579074276e-05,6,6,0.0013340028006907985
SRRM4,1.5293359170611087,-2.088245730097125,-6.9802048367933915,1.2347975823443343e-05,6,6,0.0013448864269414566
SH3BP1,4.643056786078168,1.2581443004305681,6.978648654696948,1.2375701268872888e-05,6,6,0.0013448864269414566
CLIC6,2.7498756497217958,1.5470711647295832,6.965964906106018,1.2604160423324435e-05,6,6,0.0013597879737859
LHX6,1.8605360291523312,1.9478036414788735,6.949029320254701,1.29162120315892e-05,6,6,0.0013816672301087988
CCL2,4.755509575226562,1.3825000875977898,6.94495130062646,1.2992572018755496e-05,6,6,0.0013816672301087988
SASH3,2.951746229156478,1.4779804143139104,6.911855229604417,1.3630313614309233e-05,6,6,0.0014392064474456443
ADCY7,5.461101628723797,1.5411205613983476,6.897967302785548,1.390775368998427e-05,6,6,0.0014581594150456746
