gene,g,var_g,logFC,n_dn,n_ctrl
TRMT61A,0.8863521993531992,0.323304679703966,0.3408124642615178,6,6
TRMT61B,-2.015114627902049,0.4870580168182939,-0.37149539073352233,6,6
TRMT9B,-0.4573256499365723,0.29448100614354866,-0.21557537507032887,6,6
TRMU,-2.6810046508077168,0.6434129655216837,-0.3942980994645575,6,6
TRNAU1AP,0.645780410257133,0.30487528555264687,0.1366180260452321,6,6
TRNT1,-0.33492837883355375,0.2896325195864569,-0.08988595022650436,6,6
TRO,1.8781462436236345,0.46039533426093165,0.5542878045441881,6,6
TROAP,1.957928537678771,0.4756978765718998,0.993204247563297,6,6
TRPA1,0.7345137972142732,0.3109991945539598,0.4835132048986437,6,6
TRPC1,-0.8368744848282335,0.31904161380687934,-0.329376222837233,6,6
TRPC3,-0.7826650320984041,0.3146518962625331,-0.5120377274137609,6,6
TRPC4,0.4764841817966199,0.295375527414173,0.2723165249172399,6,6
TRPC4AP,0.35287268450972414,0.29024962521270825,0.03925779909793636,6,6
TRPC5,-1.1226538791533134,0.3470412552579524,-0.7955638758018632,6,6
TRPC6,-0.8318864639743558,0.31862542308624114,-0.7501684597986165,6,6
TRPC7,-1.9101388608077585,0.46645519201745134,-1.870288747186049,6,6
TRPM1,-2.076413329492024,0.49959828438366094,-1.122002326137327,6,6
TRPM2,3.3741018081698058,0.8532518192337908,1.552310768812137,6,6
TRPM3,-1.4112686613913221,0.383607630370316,-0.5148088126954242,6,6
TRPM4,0.9670648460200408,0.33078438945944155,0.37673085552414065,6,6
TRPM5,-1.1018527402181524,0.34472764169536585,-0.9239185044388265,6,6
TRPM6,-2.4122778046656927,0.5749778789831901,-3.079797338824447,6,6
TRPM7,-4.127761745732893,1.1359445201158462,-0.6115739012366053,6,6
TRPS1,-0.19970087326627092,0.28601769057821885,-0.02020217308834482,6,6
TRPT1,0.10861628157059969,0.28461354347016443,0.019576630093000702,6,6
TRPV1,-1.3972629515758717,0.3816408564313791,-0.6416314859508399,6,6
TRPV2,1.8083380007117846,0.447527984879968,0.7411223142023209,6,6
TRPV3,-0.45257445548325037,0.2942648505268513,-0.3363829107809506,6,6
TRPV4,-2.152634200095168,0.5157153686100215,-0.7840842602697347,6,6
TRPV5,-0.30714291630426305,0.28874050719084765,-0.3024857101489893,6,6
TRPV6,-0.5302531213600498,0.29808208727465707,-0.3944461980009102,6,6
TRRAP,0.17111602700233428,0.28548770337390644,0.023823312065573532,6,6
TRUB1,-0.6515546630767983,0.3052498425879093,-0.38840286151093917,6,6
TRUB2,-1.4017922063205688,0.38227473812410767,-0.36921716050075126,6,6
TSC1,-1.7612834274357498,0.43912963422704443,-0.36108279632987283,6,6
TSC2,0.3425415895053677,0.2898904056660965,0.04071129090807801,6,6
TSC22D1,1.2300633334685867,0.35967645885624583,0.19394227003432452,6,6
TSC22D2,-0.016365564826817714,0.2840370602246583,-0.005250137579645653,6,6
TSC22D3,1.0360329638338037,0.3376918837465661,0.4539206371402509,6,6
TSC22D4,1.4300383268735632,0.3862741494554203,0.4826610136809979,6,6
TSEN15,-1.0489253091007704,0.3390358838426606,-0.6364380633871449,6,6
TSEN2,-1.09961604620453,0.3444814410925774,-0.6640138509462057,6,6
TSEN34,-0.1793431625522664,0.2856318671367657,-0.049110138073290344,6,6
TSEN54,0.7557942959140839,0.3125849195258666,0.19634451106114081,6,6
TSFM,-0.9029266381931772,0.32478749433699494,-0.5925551907675581,6,6
TSG101,-0.6176258043244792,0.3030967503474263,-0.1762905180883072,6,6
TSGA10,-0.8399496210675264,0.31929943693562735,-0.2756381475472347,6,6
TSHR,-0.21926178496460752,0.2864274551563466,-0.15728586884112505,6,6
TSHZ1,-0.8981680904303205,0.3243589645724157,-0.08540625858190332,6,6
TSHZ2,2.7661575939466028,0.6666050603664763,1.0144030868390912,6,6
TSHZ3,3.4396406626663723,0.8755800630524512,1.1331885866479898,6,6
TSKU,-0.6726231644534705,0.3066447647070233,-0.5577441494756235,6,6
TSN,-1.225115032225327,0.35906901074827646,-0.4463300700276962,6,6
TSNARE1,0.8974929846980314,0.3242983515181623,0.22777587982266834,6,6
TSNAX,0.919376438482872,0.32628632042092576,0.38097715643061747,6,6
TSNAXIP1,-0.6331985105769691,0.3040706863288979,-0.5237249093729024,6,6
TSPAN1,1.0180222593966863,0.33584213467040996,0.36647516501327093,6,6
TSPAN10,0.13078948026503268,0.28487896304645316,0.07983592730476685,6,6
TSPAN11,-0.5678603521805643,0.30014693761798505,-0.5475051733021981,6,6
TSPAN12,-1.0222229633106465,0.33627065797503325,-0.3158895781788891,6,6
TSPAN13,-0.35159627232052754,0.2902046655745378,-0.37303733773653214,6,6
TSPAN14,1.2186291004250154,0.3582765128591874,0.28627893359435763,6,6
TSPAN15,0.7000236791261396,0.3085253262059181,0.28130226048941154,6,6
TSPAN17,0.7478204258841772,0.3119854381075329,0.14696020811241084,6,6
TSPAN18,0.05248040117166722,0.28416137826441024,0.020084296062481855,6,6
TSPAN2,-1.685610081336238,0.4260877359541712,-1.1186046950517357,6,6
TSPAN3,0.13395376111048266,0.28492084914483545,0.03956607834518433,6,6
TSPAN31,-0.16736286747423004,0.2854241851095131,-0.06205812868361704,6,6
TSPAN32,2.469433897095083,0.5889288572451638,1.453854350663151,6,6
TSPAN33,-0.5899195176284701,0.3014239205030036,-0.19681269792371658,6,6
TSPAN4,1.977699930752079,0.47958851944389214,0.47849491170237446,6,6
TSPAN5,-0.5305862137345114,0.29809975514930953,-0.3622040187793716,6,6
TSPAN6,-0.7516963736007225,0.3122760405432771,-0.5557456161118353,6,6
TSPAN7,-1.4968225640162467,0.39604755804646186,-1.346839995005265,6,6
TSPAN8,-0.6098508011241057,0.30261956862063893,-0.9157386954973585,6,6
TSPAN9,-0.7034762118867565,0.3087676076735803,-0.24041707764548814,6,6
TSPO,1.6394634771506382,0.4184156932845964,0.6152944570164913,6,6
TSPOAP1,0.5252263107676691,0.29781680251518405,0.11930368494403698,6,6
TSPYL1,-0.4100215048478113,0.2924295503609365,-0.04102073279587337,6,6
TSPYL2,1.5143944613657456,0.39869319786981566,0.40172907599785823,6,6
TSPYL4,0.7408371285896804,0.3114656511939034,0.15222864455791374,6,6
TSPYL5,-0.20655360459715238,0.2861568882176571,-0.16965918855656703,6,6
TSR1,-0.3523832939337241,0.29023236793123236,-0.07321128397423493,6,6
TSR2,-0.5540860708548493,0.2993742373348215,-0.18675509149934122,6,6
TSR3,0.31368194447734643,0.2889434867536077,0.13715801513653858,6,6
TSSC4,0.23582616982113122,0.28680436775767854,0.1128825646310534,6,6
TSSK3,-0.5056321013369752,0.29680685973417553,-0.40489355050704545,6,6
TSSK4,-0.8042498511872979,0.3163645597957928,-0.7122477344196143,6,6
TST,-1.876973267567294,0.4601751009971655,-0.7497739620537995,6,6
TSTD1,-0.2177754237081082,0.2863949753976156,-0.05352140631429059,6,6
TSTD2,-0.3887171340422822,0.29157871915395556,-0.0772289940509081,6,6
TTBK1,-0.9751931511972499,0.33157375274615436,-0.5159190645180798,6,6
TTBK2,-1.1665908198691055,0.35207037568919686,-0.20842007752809177,6,6
TTC1,-1.5715933816624217,0.4075189565033096,-0.49948076775666816,6,6
TTC12,-1.2307059881973288,0.3597555301082914,-0.45128754278046745,6,6
TTC13,-0.1509414725728266,0.28516283504617596,-0.04118672832686521,6,6
TTC14,-0.17805319279907122,0.28560881561235046,-0.024082105534321663,6,6
TTC16,0.40229609105584857,0.29211577588299403,0.18370111225636698,6,6
TTC17,1.2865672218648343,0.3667864294579032,0.1365231371745006,6,6
TTC19,-1.1116340632611723,0.3458101831691805,-0.16212106243649593,6,6
TTC21A,-0.4705030681104493,0.29509232549412057,-0.1369809893401559,6,6
TTC21B,-2.1240027112946,0.5095930445183939,-0.9346070536057614,6,6
TTC22,0.30182306155380134,0.2885785266633388,0.13728574453851916,6,6
TTC23,-0.46648971549890517,0.29490430137236573,-0.08922771536606433,6,6
TTC23L,-0.41382597894123097,0.2925862656813867,-0.41324403411435107,6,6
TTC27,-1.343668249991428,0.3742958869408046,-0.5023992967362902,6,6
TTC28,1.00555432520191,0.3345806436856667,0.2846143363874418,6,6
TTC3,-0.5048060026391469,0.296765123654079,-0.06903731478865538,6,6
TTC31,0.4939035699215293,0.29622070545811485,0.10964360395321027,6,6
TTC32,-0.9671383080084248,0.33079149397992325,-0.2412284020348281,6,6
TTC33,-0.8306872157265089,0.3185257311576263,-0.5573038858705317,6,6
TTC34,0.5093327162489182,0.2969946594311283,0.5015502173319359,6,6
TTC36,-2.370205787983718,0.5649174425086293,-1.6760596413411046,6,6
TTC38,-1.60652845996614,0.41307035327311215,-0.6479676306262139,6,6
TTC39A,1.694984356183438,0.4276722670243825,0.6338721768658413,6,6
TTC39B,-1.3170850866552846,0.3707593249135412,-0.3333235424082348,6,6
TTC39C,1.3160039433523358,0.37061698758499817,0.35021077625024777,6,6
TTC4,0.1882611841403966,0.2857957823117505,0.1579332728108307,6,6
TTC5,-0.044368481238178256,0.2841220967454224,-0.008662077155211279,6,6
