gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE142025,g_GSE162830,g_GSE166239,stouffer_z,stouffer_p,is_IEG
LEO1,3,-1.0670607479697258,0.26076929694076495,-4.091972331436373,4.277196949301259e-05,0.0,1.4265988967330727,0.0,-0.9818544356811229,0,3,True,"GSE142025,GSE162830,GSE166239",0.002265224305307755,-1.3700163314392395,-0.697894816276187,-1.2203659166008234,-4.17001210658321,3.045834581952428e-05,False
CDKL3,3,-1.0683634154441939,0.2612053426203517,-4.090128497092053,4.311342656765728e-05,0.0,1.5432670868522904,0.0,-0.9001271814091236,0,3,True,"GSE142025,GSE162830,GSE166239",0.002273798450498747,-1.3449746610197475,-0.6800575007296613,-1.3271462823529396,-4.212207742667876,2.5288680024514522e-05,False
GLYATL1,3,-1.0706815118774646,0.26213934969284775,-4.08439829095478,4.4191176953745294e-05,0.0,1.0113699209839457,0.0,-1.4582583167706442,0,3,True,"GSE142025,GSE162830,GSE166239",0.0023192381543435483,-1.0313378509394473,-0.8780580960835168,-1.644744915793453,-4.244273241711543,2.1930300110054502e-05,False
SLC23A3,3,-1.063792708047681,0.2606126842183706,-4.081891528949205,4.4670645844431874e-05,0.0,0.7114641718112505,0.0,-1.5289170346994838,0,3,True,"GSE142025,GSE162830,GSE166239",0.0023224695141080215,-1.1975022124721109,-0.8015434466530758,-1.3341940161151602,-4.2483030251453435,2.1539591550949282e-05,False
SNAPC1,3,-1.0573510657909135,0.25906036144464617,-4.081485333744658,4.474880190873722e-05,0.0,0.2697265654528425,0.0,-1.3878100186383253,0,3,True,"GSE142025,GSE162830,GSE166239",0.0023224695141080215,-1.2091258965657323,-0.9944483527949088,-0.8724873746633,-4.2088207059572715,2.5670697974651552e-05,False
FBXO22,3,-1.0646423371343372,0.26085909968699467,-4.081292691770399,4.4785913495196e-05,0.0,0.32052855016049164,0.0,-1.1214689138939398,0,3,True,"GSE142025,GSE162830,GSE166239",0.0023224695141080215,-0.9536978918183752,-1.0500231799994797,-1.3654974140849003,-4.063148880865888,4.841512750302348e-05,False
RHOT1,3,-1.09172938805746,0.2677435238202247,-4.0775193083306736,4.551875092613691e-05,0.006642774742665931,2.0600164953497098,2.913398775455986,-0.9112231283758764,0,3,True,"GSE142025,GSE162830,GSE166239",0.002353468000406557,-1.3106338812077212,-0.6615855425083125,-1.6124039154778715,-4.177773644312116,2.9437639607766107e-05,False
BRPF3,3,-1.0607739669815568,0.26052658634433895,-4.071653422655022,4.6680599983676017e-05,0.0,1.3388794993373108,0.0,-0.8530148857976679,0,3,True,"GSE142025,GSE162830,GSE166239",0.002406398739986896,-1.3507539399717756,-0.7019938839117327,-1.2156042470599313,-4.0185887836026435,5.854774811553094e-05,False
OARD1,3,-1.063786897391495,0.26168869821016116,-4.065085365425953,4.8014884495543815e-05,0.0,0.7283293543945498,0.0,-1.244522866059566,0,3,True,"GSE142025,GSE162830,GSE166239",0.0024678800809745,-0.9123222255789246,-1.027086387481991,-1.5438878577352968,-4.101036703637719,4.1130330862923275e-05,False
ALDH8A1,3,-1.0606763516677151,0.2612047162227034,-4.060709036981481,4.892391155719389e-05,0.0,1.0001564179819402,0.0,-1.217274627844818,0,3,True,"GSE142025,GSE162830,GSE166239",0.002507206573448666,-1.1588666905803005,-0.7758417367695992,-1.486518300674638,-4.210128558168928,2.5522541597762136e-05,False
KAT2B,3,-1.0654167898313058,0.2625399374554879,-4.058113215677675,4.947078486683291e-05,0.0,1.3001115735625417,0.0,-1.002272066615174,0,3,True,"GSE142025,GSE162830,GSE166239",0.002527797523518172,-0.9968790081492034,-0.8733059561209892,-1.7438318661811103,-3.851929453400666,0.00011719078787523662,False
RHOBTB3,3,-1.0529448597244244,0.2595588598604236,-4.05667084641472,4.977715457886188e-05,0.0,0.788809051600314,0.0,-0.8880492371409211,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.3053802349315302,-0.7907880083378357,-1.0648052448042735,-4.083564451274281,4.435012122015036e-05,False
MAGI3,3,-1.0543834701198476,0.26008628383094334,-4.053975682951428,5.035445301110939e-05,0.0,0.21262222006972403,0.0,-1.2589090012849093,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-0.9188524672980972,-1.162112622824927,-1.1573737490968503,-4.030699186887634,5.561117865201822e-05,False
KIAA1958,3,-1.051182456276965,0.2593019195026598,-4.053893848117783,5.037208074376895e-05,0.0,1.2308289288054763,0.0,-0.9804310202929055,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.4071883943654648,-0.8004025435741657,-0.8569373199628295,-4.146711486713195,3.372846355128679e-05,False
RINT1,3,-1.0556378590588236,0.2604013723581971,-4.053887464182535,5.0373456129079345e-05,0.0,0.833962846342743,0.0,-0.9559211208627852,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.2178523152338057,-0.7690768728240608,-1.318128823774099,-4.020134586410273,5.8164903222258055e-05,False
MSRA,3,-1.0521318011603724,0.2596581877925895,-4.051987769400891,5.078432047201848e-05,0.0,0.0597374894550086,0.0,-1.437363691315003,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-0.979626271893742,-1.1037808238306352,-1.1145420632657137,-4.146818729265379,3.371267592296704e-05,False
DMGDH,3,-1.4113440829946113,0.3483360393643279,-4.051674025949619,5.0852481488507126e-05,0.11727683891680002,2.9246985745154506,31.616884644895414,-1.4441460172054892,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.1964084772063333,-1.1541635902859235,-2.619709419604133,-5.157568958968663,2.501767247545375e-07,False
HSD17B11,3,-1.0667159752716238,0.26328706761883125,-4.051531983393659,5.088336885312173e-05,0.0,1.8180168813437123,0.0,-1.0272248852602794,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.0300414564087887,-0.8082630428774399,-1.8733526887977137,-4.186890433611038,2.8280225743346505e-05,False
FOXJ3,3,-1.054261270150581,0.26031653154035933,-4.049920548311888,5.1235025185122305e-05,0.0,1.8518284030825376,0.0,-0.7780250584478079,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.4508580367496304,-0.6603062683511889,-1.0828370188995249,-3.7960694895137954,0.00014700830742725654,False
VPS50,3,-1.3055270900153795,0.3223802461787186,-4.049649770698518,5.1294341353539667e-05,0.08580610609470726,2.741134229048523,27.037502257077673,-1.1430803253870374,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.6870386879161974,-0.7736430502483389,-1.6456902006028375,-4.967845545095831,6.770085077911813e-07,False
