gene,microarray_g,rnaseq_g
NPHS1,-2.066969154740713,-1.2872216446744835
CYP4B1,-0.6717127168265681,-0.9804809821995224
CA10,-2.4240683665997955,-1.4399956791914084
FMO4,-0.6700420796501394,-1.0560450168602673
CTR9,-0.8888772192676594,-0.8262766050138082
SEH1L,-0.6675506387471458,-0.7117397846421368
MEGF9,-0.925264832892478,-1.025136145592564
VEGFA,-1.0950548438349237,-1.2444105737927509
CAND1,-0.6543769073226726,-1.247416738285194
AGMAT,-1.0408700608673032,-0.9585892991964108
CD82,0.6754820512294422,0.8737591644366551
COPB1,0.6487207428897442,-1.0116748898944317
F3,-1.234419781304886,-1.5526427608326645
FMO1,-0.6476788128071514,-0.9340896107387404
TGFBR3,-1.9018452070280023,-1.7284692572771223
IQGAP2,-1.4107246276307492,-1.5207803988380617
BCL11A,0.6447595103607541,1.254670187652872
TDO2,1.4208611061049603,0.8972973633685906
GLYAT,-0.9951054176501716,-0.9279153162576708
FHOD3,0.6371240251340177,-0.8243201645749809
HAO2,-1.080412695548118,-1.06585249528945
FAM149B1,-0.6346772808988456,-0.7766439262659794
ZNF780B,0.6325658112273915,-0.8373347175392828
ACAT1,-0.784046035153067,-1.0729486234435723
APBA2,0.626435322406336,0.939033515033236
ARFIP1,-0.6263623281505785,-0.96013734167536
SLC20A1,0.974593875249714,-0.96193573275466
RPS6KB1,0.8218171322980704,-1.1149214359870083
SLK,-1.0234677392257878,-1.7098948911686411
FGF9,-1.4668622792464885,-1.2191072697958754
ARHGAP6,0.6188989313500806,-0.7551600935131704
IGF1R,-0.9587418829903848,-1.004691500018602
MTRR,-0.8572274239791411,-0.7863129247744551
CCDC91,-2.8310602814423693,-1.238893199054722
MPC1,-0.821571277576512,-0.8559540622373845
PEX14,-0.6720551900083929,-1.1898459265418146
CYP27B1,-1.7193712702771302,-1.1660687730207857
ALDH8A1,-0.815511151119583,-1.0606763516677151
TNNT2,-2.04570239741834,-1.4355622847680267
SCN9A,0.6043252580158578,-1.2960848329066326
TSPAN2,-1.330963931504059,-1.2661757316208844
ERP44,-0.8421615086656928,-1.2581955871857096
USP2,-1.2830671131593567,-0.7277660918758536
ASPA,-1.085076830516975,-1.570695872027514
EHBP1,-1.158993694016253,-1.185913664412595
PIAS1,-0.9126209829488336,-0.9902526670860826
CHORDC1,0.7996683071617989,-0.698756080163431
ACSF2,-0.6691122890675786,-0.9104630038167636
TSPAN12,-0.5829385297281898,-0.7095218491813985
SLC27A2,-0.8619586092556417,-0.9199672943327084
ATG5,0.582522558733317,-0.6983035090726247
CCT8,0.5822836547055137,-0.8527587121784693
DDN,-1.095176917599234,-1.0853386477844256
URI1,-1.1414451649386488,-1.0489078097166833
MED4,-1.2364741532874568,-1.0203531442120335
PLCG2,-1.5320328813802655,-1.1782184079858324
THRB,0.5821368230908464,-1.2324913947432192
KIAA0586,0.5627195815625259,-1.2947539169112718
GABRA2,-0.5631005505248651,-1.3026945182996477
UGDH,0.5606557575675553,-0.9342584730468694
RFC3,0.5565919303077254,-0.9106781450089728
LTN1,0.5523321558627863,-1.3543508499640122
LOX,-1.2831879022679495,-1.268585091151294
ANKRD12,-0.6958246371887848,-0.8917968948043329
PBLD,-1.0694781966343598,-0.9690759475376556
KLHL3,-1.648713811569291,-1.5949106540448763
UFSP2,-0.8291547786424722,-0.7590765612735604
